S.No,District,Division,Taluk,Firka,2011,2013,2017,2020,2022,2023
400,Madurai,Madurai,Madurai North,Samayanallur,Safe,Safe,Safe,Safe,Safe,Safe
401,Madurai,Madurai,Madurai North,Sathamangalam,Safe,Safe,Safe,Safe,Semi-Critical,Semi-Critical
402,Madurai,Madurai,Madurai West,Madurai West,Semi-Critical,Critical,Critical,Critical,Over-Exploited,Over-Exploited
403,Madurai,Madurai,Madurai West,Nagamalai Pudukottai,Semi-Critical,Semi-Critical,Over-Exploited,Over-Exploited,Critical,Semi-Critical
404,Madurai,Madurai,Vadipatti,Alanganallur,Safe,Safe,Safe,Safe,Semi-Critical,Semi-Critical
405,Madurai,Madurai,Vadipatti,Muduvarpatti,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
406,Madurai,Madurai,Vadipatti,Neerethan,Safe,Semi-Critical,Safe,Safe,Semi-Critical,Semi-Critical
407,Madurai,Madurai,Vadipatti,Palamedu,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
408,Madurai,Madurai,Vadipatti,Sholavandan,Safe,Safe,Safe,Safe,Semi-Critical,Safe
409,Madurai,Madurai,Vadipatti,Thanichayam,Safe,Safe,Safe,Safe,Semi-Critical,Safe
410,Madurai,Madurai,Vadipatti,Thenkarai,Safe,Semi-Critical,Safe,Safe,Semi-Critical,Safe
411,Madurai,Melur,Madurai East,Appanthirupathi,Safe,Safe,Safe,Safe,Safe,Safe
412,Madurai,Melur,Madurai East,Arumbanur,Safe,Safe,Safe,Safe,Safe,Safe
413,Madurai,Melur,Madurai East,Kallandiri,Safe,Safe,Safe,Safe,Safe,Safe
414,Madurai,Melur,Madurai East,Kunnathur,Safe,Safe,Safe,Safe,Safe,Safe
415,Madurai,Melur,Madurai East,Othakadai,Safe,Safe,Safe,Safe,Semi-Critical,Semi-Critical
416,Madurai,Melur,Madurai East,Rajakoor,Safe,Safe,Safe,Safe,Safe,Safe
417,Madurai,Melur,Madurai East,Sakkimangalam,Safe,Safe,Safe,Safe,Safe,Semi-Critical
418,Madurai,Melur,Madurai South,Avaniapuram,Safe,Safe,Safe,Safe,Safe,Safe
419,Madurai,Melur,Madurai South,East Madurai,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Critical,Semi-Critical
420,Madurai,Melur,Madurai South,Virathanur,Safe,Safe,Safe,Safe,Safe,Safe
421,Madurai,Melur,Melur,A.Vallalapatti,Safe,Over-Exploited,Over-Exploited,Over-Exploited,Critical,Critical
422,Madurai,Melur,Melur,Karungalakkudi,Safe,Safe,Safe,Safe,Semi-Critical,Semi-Critical
423,Madurai,Melur,Melur,Keelavalavu,Safe,Safe,Safe,Safe,Safe,Safe
424,Madurai,Melur,Melur,Kottampatti,Semi-Critical,Critical,Over-Exploited,Over-Exploited,Critical,Critical
425,Madurai,Melur,Melur,Melavalavu,Safe,Safe,Safe,Safe,Semi-Critical,Semi-Critical
426,Madurai,Melur,Melur,Melur,Safe,Safe,Safe,Safe,Safe,Safe
427,Madurai,Melur,Melur,Thiruvathavur,Safe,Safe,Safe,Safe,Safe,Safe
428,Madurai,Melur,Melur,Vellalur,Semi-Critical,Semi-Critical,Over-Exploited,Over-Exploited,Semi-Critical,Semi-Critical
429,Madurai,Thirumangalam,Kalligudi,Kalligudi,Safe,Semi-Critical,Semi-Critical,Semi-Critical,Safe,Safe
430,Madurai,Thirumangalam,Kalligudi,Kuraiyur,Safe,Safe,Safe,Safe,Safe,Safe
431,Madurai,Thirumangalam,Kalligudi,Sivarakkottai,Semi-Critical,Safe,Safe,Safe,Safe,Safe
432,Madurai,Thirumangalam,Thirumangalam,Kokkulam,Semi-Critical,Critical,Over-Exploited,Over-Exploited,Critical,Semi-Critical
433,Madurai,Thirumangalam,Thirumangalam,Pannikundu,Safe,Semi-Critical,Semi-Critical,Semi-Critical,Safe,Safe
434,Madurai,Thirumangalam,Thirumangalam,Thirumangalam,Semi-Critical,Semi-Critical,Critical,Critical,Semi-Critical,Safe
435,Madurai,Thirumangalam,Thirupparankundram ,Thirupparankundram,Safe,Safe,Safe,Safe,Safe,Safe
436,Madurai,Thirumangalam,Thirupparankundram ,Valayankulam,Safe,Safe,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical
437,Madurai,Usilampatti,Peraiyur,Athipatti,Semi-Critical,Semi-Critical,Safe,Safe,Semi-Critical,Semi-Critical
438,Madurai,Usilampatti,Peraiyur,Elumalai,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical
439,Madurai,Usilampatti,Peraiyur,Mothagam,Safe,Safe,Safe,Safe,Safe,Safe
440,Madurai,Usilampatti,Peraiyur,Peraiyur,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical
441,Madurai,Usilampatti,Peraiyur,Sedapatti,Critical,Critical,Over-Exploited,Over-Exploited,Critical,Semi-Critical
442,Madurai,Usilampatti,Peraiyur,T. Kallupatti,Safe,Safe,Safe,Safe,Safe,Safe
443,Madurai,Usilampatti,Usilampatti,Karumathur,Semi-Critical,Semi-Critical,Critical,Critical,Semi-Critical,Semi-Critical
444,Madurai,Usilampatti,Usilampatti,Sindupatti,Semi-Critical,Critical,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
445,Madurai,Usilampatti,Usilampatti,Usilampatti,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Semi-Critical,Semi-Critical
446,Madurai,Usilampatti,Usilampatti,Uthappanayakanur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Semi-Critical,Semi-Critical
447,Madurai,Usilampatti,Usilampatti,Valandur,Safe,Semi-Critical,Semi-Critical,Semi-Critical,Critical,Semi-Critical
448,Mayiladuthurai,Mayiladuthurai,Kuthalam,Kuttalam,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
449,Mayiladuthurai,Mayiladuthurai,Kuthalam,Manganallur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
450,Mayiladuthurai,Mayiladuthurai,Kuthalam,Paalaiyur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
451,Mayiladuthurai,Mayiladuthurai,Mayiladuthurai,Manalmedu,Safe,Safe,Safe,Safe,Safe,Safe
452,Mayiladuthurai,Mayiladuthurai,Mayiladuthurai,Mayiladuthurai,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
453,Mayiladuthurai,Mayiladuthurai,Mayiladuthurai,Pattavarthi,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
454,Mayiladuthurai,Sirkazhi,Sirkazhi,Maadhanam,Critical,Critical,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
455,Mayiladuthurai,Sirkazhi,Sirkazhi,Puthur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
456,Mayiladuthurai,Sirkazhi,Sirkazhi,Sirkali,Critical,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
457,Mayiladuthurai,Sirkazhi,Sirkazhi,Thiruvenkadu,Saline,Saline,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
458,Mayiladuthurai,Sirkazhi,Sirkazhi,Vaitheesvaran Koil,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
459,Mayiladuthurai,Sirkazhi,Tharangambadi,Melaiyur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
460,Mayiladuthurai,Sirkazhi,Tharangambadi,Sembanarkoil,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
461,Mayiladuthurai,Sirkazhi,Tharangambadi,Thillaiyadi,Saline,Saline,Saline,Saline,Saline,Saline
462,Mayiladuthurai,Sirkazhi,Tharangambadi,Thiruvilaiyattam,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
463,Nagapattinam,Nagapattinam,Kilvelur,Keezhaiyur,Saline,Saline,Saline,Saline,Saline,Saline
464,Nagapattinam,Nagapattinam,Kilvelur,Kilvelur,Saline,Saline,Saline,Saline,Saline,Saline
465,Nagapattinam,Nagapattinam,Kilvelur,Thevur,Saline,Saline,Saline,Saline,Saline,Saline
466,Nagapattinam,Nagapattinam,Kilvelur,Veilankanni,Saline,Saline,Saline,Saline,Saline,Saline
467,Nagapattinam,Nagapattinam,Nagapattinam,Kangalanchery,Saline,Saline,Saline,Saline,Saline,Saline
468,Nagapattinam,Nagapattinam,Nagapattinam,Nagapattinam,Saline,Saline,Saline,Saline,Saline,Saline
469,Nagapattinam,Nagapattinam,Nagapattinam,Therkupoigainallur,Saline,Saline,Saline,Saline,Saline,Saline
470,Nagapattinam,Nagapattinam,Nagapattinam,Thirukannapuram,Semi-Critical,Safe,Saline,Saline,Saline,Saline
471,Nagapattinam,Nagapattinam,Nagapattinam,Thiurmarugal,Saline,Saline,Saline,Saline,Saline,Saline
472,Nagapattinam,Vedaranyam,Thirukkuvalai,Neermoolai,Saline,Saline,Saline,Saline,Saline,Saline
473,Nagapattinam,Vedaranyam,Thirukkuvalai,Thirukuvalai,Saline,Saline,Saline,Saline,Saline,Saline
474,Nagapattinam,Vedaranyam,Thirukkuvalai,Valivalam,Saline,Saline,Saline,Saline,Saline,Saline
475,Nagapattinam,Vedaranyam,Vedaranyam,Kariapattinam,Over-Exploited,Saline,Saline,Saline,Saline,Saline
476,Nagapattinam,Vedaranyam,Vedaranyam,Thahattur,Saline,Saline,Saline,Saline,Saline,Saline
477,Nagapattinam,Vedaranyam,Vedaranyam,Thalanayar,Saline,Saline,Saline,Saline,Saline,Saline
478,Nagapattinam,Vedaranyam,Vedaranyam,Vedaranyam,Saline,Saline,Saline,Saline,Saline,Saline
479,Namakkal,Namakkal,Kolli Hills,Tirupuli Nadu,Safe,Safe,Safe,Safe,Safe,Safe
480,Namakkal,Namakkal,Kolli Hills,Valavanthi Nadu,Safe,Safe,Safe,Safe,Safe,Safe
481,Namakkal,Namakkal,Mohanur,Mettupatty,NIL,NIL,NIL,NIL,NIL,Over-Exploited
482,Namakkal,Namakkal,Mohanur,Mohanur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
483,Namakkal,Namakkal,Mohanur,Palapatti,Semi-Critical,Critical,Semi-Critical,Semi-Critical,Safe,Safe
484,Namakkal,Namakkal,Mohanur,Valayapatti,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
485,Namakkal,Namakkal,Namakkal,Keerambur,NIL,NIL,NIL,NIL,NIL,Over-Exploited
486,Namakkal,Namakkal,Namakkal,Nallipalayam,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
487,Namakkal,Namakkal,Namakkal,Namakkal,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
488,Namakkal,Namakkal,Namakkal,Puduchatram,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
489,Namakkal,Namakkal,Namakkal,Sellappampatti,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
490,Namakkal,Namakkal,Rasipuram,Mangalapuram,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
491,Namakkal,Namakkal,Rasipuram,Mullukurichi,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
492,Namakkal,Namakkal,Rasipuram,Namagiripettai,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
493,Namakkal,Namakkal,Rasipuram,Rasipuram,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
494,Namakkal,Namakkal,Rasipuram,Vennandur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
495,Namakkal,Namakkal,Sendamangalam,Alanganatham,Semi-Critical,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
496,Namakkal,Namakkal,Sendamangalam,Erumapatti,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
497,Namakkal,Namakkal,Sendamangalam,Kalappanaickenpatti,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
498,Namakkal,Namakkal,Sendamangalam,Sendamangalam,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
499,Namakkal,Tiruchengodu,Kumarapalayam,Kumarapalayam,Semi-Critical,Semi-Critical,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
500,Namakkal,Tiruchengodu,Kumarapalayam,Pallipalayam,Safe,Safe,Safe,Safe,Safe,Safe
501,Namakkal,Tiruchengodu,Paramathi Velur,Jedarpalayam,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Critical,Semi-Critical
502,Namakkal,Tiruchengodu,Paramathi Velur,Nallur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
503,Namakkal,Tiruchengodu,Paramathi Velur,Pandamangalam,Semi-Critical,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Critical
504,Namakkal,Tiruchengodu,Paramathi Velur,Paramathi,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
505,Namakkal,Tiruchengodu,Tiruchengode,Elachipalayam,Safe,Critical,Critical,Critical,Semi-Critical,Critical
506,Namakkal,Tiruchengodu,Tiruchengode,Mallasamuthram,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
507,Namakkal,Tiruchengodu,Tiruchengode,Manickampalayam,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Safe,Semi-Critical
508,Namakkal,Tiruchengodu,Tiruchengode,Molasi,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical
509,Namakkal,Tiruchengodu,Tiruchengode,Tiruchengode,Semi-Critical,Semi-Critical,Over-Exploited,Over-Exploited,Critical,Over-Exploited
510,Namakkal,Tiruchengodu,Tiruchengode,Vaiyappamalai,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
511,Nilgiris,Coonoor,Coonoor,Coonoor,Safe,Safe,Safe,Safe,Safe,Safe
512,Nilgiris,Coonoor,Coonoor,Ketty,Safe,Safe,Safe,Safe,Safe,Safe
513,Nilgiris,Coonoor,Coonoor,Melur,Safe,Safe,Safe,Safe,Safe,Safe
514,Nilgiris,Coonoor,Kotagiri,Kil Kotagiri,Safe,Safe,Safe,Safe,Safe,Safe
515,Nilgiris,Coonoor,Kotagiri,Kotagiri,Safe,Safe,Safe,Safe,Safe,Safe
516,Nilgiris,Coonoor,Kotagiri,Nedugula,Safe,Safe,Safe,Safe,Safe,Safe
517,Nilgiris,Gudalur,Gudalur,Deversholai,Safe,Safe,Safe,Safe,Safe,Safe
518,Nilgiris,Gudalur,Gudalur,Gudalur,Safe,Safe,Safe,Safe,Safe,Safe
519,Nilgiris,Gudalur,Pandalur,Cherambadi,Safe,Safe,Safe,Safe,Safe,Safe
520,Nilgiris,Gudalur,Pandalur,Pandalur,Safe,Safe,Safe,Safe,Safe,Safe
521,Nilgiris,Udhagai,Kundah,Ithalar,Safe,Safe,Safe,Semi-Critical,Safe,Safe
522,Nilgiris,Udhagai,Kundah,Kundah,Safe,Safe,Safe,Semi-Critical,Safe,Safe
523,Nilgiris,Udhagai,Udhagai,Sholur,Safe,Safe,Safe,Safe,Safe,Safe
524,Nilgiris,Udhagai,Udhagai,Thuneri,Safe,Safe,Safe,Safe,Safe,Safe
525,Nilgiris,Udhagai,Udhagai,Udhagai Town,Safe,Safe,Safe,Safe,Safe,Safe
526,Perambalur,Perambalur,Alathur,Chettikulam,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
527,Perambalur,Perambalur,Alathur,Kolakkanatham,Semi-Critical,Semi-Critical,Safe,Safe,Safe,Safe
528,Perambalur,Perambalur,Alathur,Koothur,NIL,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical
529,Perambalur,Perambalur,Kunnam,Kelapuliyur,Semi-Critical,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
530,Perambalur,Perambalur,Kunnam,Vadakkalur,Safe,Safe,Safe,Safe,Safe,Safe
531,Perambalur,Perambalur,Kunnam,Varagur,Safe,Safe,Safe,Safe,Safe,Safe
532,Perambalur,Perambalur,Perambalur,Kurumbalur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
533,Perambalur,Perambalur,Perambalur,Perambalur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
534,Perambalur,Perambalur,Veppanthattai,Pasumbalur,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
535,Perambalur,Perambalur,Veppanthattai,Vallikandapuram,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
536,Perambalur,Perambalur,Veppanthattai,Vengalam,Semi-Critical,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited,Over-Exploited
537,Pudukkottai,Aranthangi,Aranthangi,Aranthangi,Safe,Safe,Safe,Safe,Safe,Safe
538,Pudukkottai,Aranthangi,Aranthangi,Arasarkulam,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Safe,Safe
539,Pudukkottai,Aranthangi,Aranthangi,Athani,Safe,Safe,Safe,Safe,Safe,Safe
540,Pudukkottai,Aranthangi,Aranthangi,Nagudi,Safe,Safe,Safe,Safe,Safe,Safe
541,Pudukkottai,Aranthangi,Aranthangi,Poovathakudi,Safe,Safe,Safe,Safe,Safe,Semi-Critical
542,Pudukkottai,Aranthangi,Aranthangi,Silatur,Safe,Safe,Safe,Safe,Safe,Safe
543,Pudukkottai,Aranthangi,Avudaiyarkoil,Avudaiyarkoil,Safe,Safe,Safe,Safe,Safe,Safe
544,Pudukkottai,Aranthangi,Avudaiyarkoil,Embal,Safe,Safe,Safe,Safe,Safe,Safe
545,Pudukkottai,Aranthangi,Avudaiyarkoil,Meemisal,Safe,Safe,Safe,Safe,Safe,Safe
546,Pudukkottai,Aranthangi,Avudaiyarkoil,Ponpethi,Safe,Safe,Safe,Safe,Safe,Safe
547,Pudukkottai,Aranthangi,Manamelkudi,Kottaipattinam,Saline,Saline,Saline,Saline,Saline,Saline
548,Pudukkottai,Aranthangi,Manamelkudi,Manamelkudi,Safe,Safe,Safe,Safe,Safe,Safe
549,Pudukkottai,Aranthangi,Manamelkudi,Perumaruthoor,Saline,Saline,Saline,Saline,Saline,Saline
550,Pudukkottai,Aranthangi,Manamelkudi,Singavanam,Saline,Saline,Saline,Saline,Saline,Saline
551,Pudukkottai,Illuppur,Illupur,Illupur,Safe,Safe,Safe,Safe,Safe,Safe
552,Pudukkottai,Illuppur,Illupur,Kudumiyanmalai,Safe,Safe,Safe,Safe,Safe,Safe
553,Pudukkottai,Illuppur,Illupur,Sithannavasal,Safe,Safe,Safe,Safe,Safe,Safe
554,Pudukkottai,Illuppur,Illupur,Veerappatti,Safe,Safe,Semi-Critical,Safe,Safe,Semi-Critical
555,Pudukkottai,Illuppur,Kulathur,Keeranur,Safe,Safe,Safe,Safe,Safe,Semi-Critical
556,Pudukkottai,Illuppur,Kulathur,Killukkottai,Safe,Safe,Safe,Safe,Safe,Safe
557,Pudukkottai,Illuppur,Kulathur,Kunnandarkoil,Safe,Safe,Safe,Safe,Safe,Safe
558,Pudukkottai,Illuppur,Kulathur,Mathur,NIL,NIL,Safe,Safe,Safe,Semi-Critical
559,Pudukkottai,Illuppur,Kulathur,Narthamalai,Safe,Safe,Semi-Critical,Semi-Critical,Safe,Safe
560,Pudukkottai,Illuppur,Ponnamaravathi,Arasamalai,Safe,Safe,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical
561,Pudukkottai,Illuppur,Ponnamaravathi,Karaiyur,Safe,Semi-Critical,Semi-Critical,Semi-Critical,Safe,Semi-Critical
562,Pudukkottai,Illuppur,Ponnamaravathi,Ponnamaravathi,Safe,Safe,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical
563,Pudukkottai,Illuppur,Viralimalai,Kodumpalur,Safe,Safe,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical
564,Pudukkottai,Illuppur,Viralimalai,Neerpalani,Safe,Safe,Safe,Safe,Safe,Semi-Critical
565,Pudukkottai,Illuppur,Viralimalai,Viralimalai,Safe,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical
566,Pudukkottai,Pudukkottai,Alangudi,Alangudi,Semi-Critical,Semi-Critical,Safe,Safe,Safe,Safe
567,Pudukkottai,Pudukkottai,Alangudi,Keeramangalam,Critical,Semi-Critical,Critical,Semi-Critical,Semi-Critical,Semi-Critical
568,Pudukkottai,Pudukkottai,Alangudi,Vallanadu,Safe,Safe,Safe,Safe,Semi-Critical,Semi-Critical
569,Pudukkottai,Pudukkottai,Alangudi,Vennavalkudi,Safe,Safe,Semi-Critical,Semi-Critical,Safe,Safe
570,Pudukkottai,Pudukkottai,Gandarvakottai,Gandarvakottai,Safe,Safe,Safe,Safe,Safe,Safe
571,Pudukkottai,Pudukkottai,Gandarvakottai,Kallakottai,Safe,Safe,Safe,Safe,Safe,Semi-Critical
572,Pudukkottai,Pudukkottai,Gandarvakottai,Pudhunagar,Safe,Safe,Safe,Safe,Safe,Semi-Critical
573,Pudukkottai,Pudukkottai,Karambakudi,Karambakudi,Safe,Safe,Safe,Safe,Safe,Safe
574,Pudukkottai,Pudukkottai,Karambakudi,Malaiyur,Safe,Safe,Safe,Safe,Safe,Safe
575,Pudukkottai,Pudukkottai,Pudukkottai,Pudukkottai,Safe,Safe,Safe,Safe,Safe,Semi-Critical
576,Pudukkottai,Pudukkottai,Pudukkottai,Varappur,Safe,Safe,Semi-Critical,Safe,Safe,Semi-Critical
577,Pudukkottai,Pudukkottai,Thirumayam,Keelanilai,Safe,Safe,Safe,Safe,Safe,Safe
578,Pudukkottai,Pudukkottai,Thirumayam,Kottur,Safe,Safe,Semi-Critical,Semi-Critical,Safe,Safe
579,Pudukkottai,Pudukkottai,Thirumayam,Senkeerai,Safe,Safe,Safe,Safe,Safe,Safe
580,Pudukkottai,Pudukkottai,Thirumayam,Thirumayam,Safe,Safe,Safe,Safe,Safe,Safe
581,Pudukkottai,Pudukkottai,Thirumayam,Virachilai,Safe,Safe,Safe,Safe,Safe,Safe
582,Ramanathapuram,Paramakudi,Kadaladi,Appanur,Saline,Safe,Safe,Safe,Safe,Safe
583,Ramanathapuram,Paramakudi,Kadaladi,Kadaladi,Saline,Saline,Saline,Saline,Saline,Saline
584,Ramanathapuram,Paramakudi,Kadaladi,Melaselvanur,Saline,Saline,Saline,Saline,Saline,Saline
585,Ramanathapuram,Paramakudi,Kadaladi,Sayalgudi,Saline,Saline,Saline,Saline,Saline,Saline
586,Ramanathapuram,Paramakudi,Kadaladi,Sayalkudi Tharaikudi,Saline,Saline,Saline,Saline,Saline,Saline
587,Ramanathapuram,Paramakudi,Kadaladi,Sikkal,Saline,Saline,Saline,Saline,Saline,Saline
588,Ramanathapuram,Paramakudi,Kamuthi,Abiramam,Safe,Safe,Safe,Safe,Safe,Safe
589,Ramanathapuram,Paramakudi,Kamuthi,Kamuthi East,Safe,Safe,Safe,Safe,Safe,Safe
590,Ramanathapuram,Paramakudi,Kamuthi,Kamuthi West,Safe,Safe,Safe,Safe,Safe,Safe
591,Ramanathapuram,Paramakudi,Kamuthi,Kovilangulam,Safe,Safe,Safe,Safe,Safe,Safe
592,Ramanathapuram,Paramakudi,Kamuthi,Perunali,Safe,Safe,Safe,Safe,Safe,Safe
593,Ramanathapuram,Paramakudi,Mudukulathur,Kakkoor,Safe,Safe,Safe,Safe,Safe,Safe
594,Ramanathapuram,Paramakudi,Mudukulathur,Keelathooval,Safe,Safe,Safe,Safe,Safe,Safe
595,Ramanathapuram,Paramakudi,Mudukulathur,Melakodumalur,Safe,Safe,Safe,Safe,Safe,Safe
596,Ramanathapuram,Paramakudi,Mudukulathur,Mudhukulathur South,Saline,Saline,Saline,Saline,Saline,Saline
597,Ramanathapuram,Paramakudi,Mudukulathur,Mudukulathur North,Safe,Safe,Safe,Safe,Safe,Safe
598,Ramanathapuram,Paramakudi,Mudukulathur,Theriruveli,Safe,Safe,Safe,Safe,Safe,Safe
599,Ramanathapuram,Paramakudi,Paramakudi,Bogalur,Safe,Safe,Safe,Safe,Safe,Safe
600,Ramanathapuram,Paramakudi,Paramakudi,Kiliyur,Safe,Safe,Safe,Safe,Safe,Safe
601,Ramanathapuram,Paramakudi,Paramakudi,Manjur,Safe,Safe,Safe,Safe,Safe,Safe
602,Ramanathapuram,Paramakudi,Paramakudi,Nainarkovil,Safe,Safe,Safe,Safe,Safe,Safe
603,Ramanathapuram,Paramakudi,Paramakudi,Paramakudi,Safe,Safe,Safe,Safe,Safe,Safe
604,Ramanathapuram,Paramakudi,Paramakudi,Parthibanur,Safe,Safe,Safe,Safe,Safe,Safe
605,Ramanathapuram,Ramanathapuram,Keelakarai,Keelakarai,Saline,Safe,Safe,Safe,Safe,Safe
606,Ramanathapuram,Ramanathapuram,Keelakarai,Thiru Uttarakosamangai,Safe,Safe,Safe,Safe,Safe,Safe
607,Ramanathapuram,Ramanathapuram,Keelakarai,Thirupullani,Saline,Saline,Saline,Saline,Saline,Saline
608,Ramanathapuram,Ramanathapuram,Rajasingamangalam,Anandur,Safe,Safe,Safe,Safe,Safe,Safe
609,Ramanathapuram,Ramanathapuram,Rajasingamangalam,Rajasingamangalam,Safe,Safe,Safe,Safe,Safe,Safe
610,Ramanathapuram,Ramanathapuram,Rajasingamangalam,Sholandur,Safe,Safe,Safe,Safe,Safe,Safe
611,Ramanathapuram,Ramanathapuram,Ramanathapuram,Devipattinam,Safe,Safe,Safe,Safe,Safe,Safe
612,Ramanathapuram,Ramanathapuram,Ramanathapuram,Mandapam,Safe,Safe,Safe,Safe,Safe,Safe
613,Ramanathapuram,Ramanathapuram,Ramanathapuram,Perungulam,Safe,Semi-Critical,Safe,Safe,Safe,Safe
614,Ramanathapuram,Ramanathapuram,Ramanathapuram,Ramanathapuram,Safe,Safe,Safe,Safe,Safe,Safe
615,Ramanathapuram,Ramanathapuram,Rameswaram,Rameswaram,Safe,Safe,Safe,Safe,Safe,Safe
616,Ramanathapuram,Ramanathapuram,Thiruvadani,Mangalagudi,Safe,Saline,Saline,Saline,Saline,Saline
617,Ramanathapuram,Ramanathapuram,Thiruvadani,Pullur,Safe,Safe,Safe,Safe,Safe,Safe
618,Ramanathapuram,Ramanathapuram,Thiruvadani,Thiruvadanai,Safe,Safe,Safe,Safe,Safe,Safe
619,Ramanathapuram,Ramanathapuram,Thiruvadani,Thondi,Safe,Saline,Saline,Saline,Saline,Saline
620,Ranipet,Arakkonam,Arakkonam,Arakkonam North,Safe,Safe,Safe,Safe,Safe,Safe
621,Ranipet,Arakkonam,Arakkonam,Arakkonam South,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical,Semi-Critical
